1.22 	3.45254e-18 	-6.98323e-18 	-0.300331
1.66 	3.45254e-18 	-6.96118e-18 	-0.302702
2.1 	3.45254e-18 	-6.93894e-18 	-0.340689
2.54 	3.45254e-18 	-8.30431e-18 	-0.319035
2.98 	3.45254e-18 	-8.28171e-18 	-0.272752
3.42 	3.45254e-18 	-6.87115e-18 	-0.24241
3.86 	3.45254e-18 	-6.84819e-18 	-0.254448
4.3 	3.45254e-18 	-6.82504e-18 	-0.243869
4.74 	3.45254e-18 	-5.41391e-18 	-0.196397
5.18 	3.45254e-18 	-2.61482e-18 	-0.146572
5.62 	3.45254e-18 	-1.2033e-18 	-0.133352
6.06 	3.45254e-18 	-1.17937e-18 	-0.147273
6.5 	3.45254e-18 	-1.15524e-18 	-0.152117
