1.22 	3.45254e-18 	-6.98323e-18 	-0.36478
1.66 	3.45254e-18 	-6.96118e-18 	-0.357007
2.1 	3.45254e-18 	-6.93894e-18 	-0.3581
2.54 	3.45254e-18 	-8.30431e-18 	-0.349963
2.98 	3.45254e-18 	-8.28171e-18 	-0.221297
3.42 	3.45254e-18 	-6.87115e-18 	-0.14243
3.86 	3.45254e-18 	-6.84819e-18 	-0.177581
4.3 	3.45254e-18 	-6.82504e-18 	-0.174587
4.74 	3.45254e-18 	-5.41391e-18 	-0.126581
5.18 	3.45254e-18 	-2.61482e-18 	-0.0872217
5.62 	3.45254e-18 	-1.2033e-18 	-0.0918623
6.06 	3.45254e-18 	-1.17937e-18 	-0.117984
6.5 	3.45254e-18 	-1.15524e-18 	-0.119244
