1.22 	3.45254e-18 	-6.98323e-18 	-0.289958
1.66 	3.45254e-18 	-6.96118e-18 	-0.275981
2.1 	3.45254e-18 	-6.93894e-18 	-0.319375
2.54 	3.45254e-18 	-8.30431e-18 	-0.344672
2.98 	3.45254e-18 	-8.28171e-18 	-0.313008
3.42 	3.45254e-18 	-6.87115e-18 	-0.236542
3.86 	3.45254e-18 	-6.84819e-18 	-0.15534
4.3 	3.45254e-18 	-6.82504e-18 	-0.0900556
4.74 	3.45254e-18 	-5.41391e-18 	-0.0449318
5.18 	3.45254e-18 	-2.61482e-18 	-0.00855184
5.62 	3.45254e-18 	-1.2033e-18 	0.00849605
6.06 	3.45254e-18 	-1.17937e-18 	0.021208
6.5 	3.45254e-18 	-1.15524e-18 	0.0249494
