1.22 	3.45254e-18 	-6.98323e-18 	-0.297862
1.66 	3.45254e-18 	-6.96118e-18 	-0.285064
2.1 	3.45254e-18 	-6.93894e-18 	-0.345645
2.54 	3.45254e-18 	-8.30431e-18 	-0.357608
2.98 	3.45254e-18 	-8.28171e-18 	-0.295434
3.42 	3.45254e-18 	-6.87115e-18 	-0.209903
3.86 	3.45254e-18 	-6.84819e-18 	-0.128561
4.3 	3.45254e-18 	-6.82504e-18 	-0.0639065
4.74 	3.45254e-18 	-5.41391e-18 	-0.0233484
5.18 	3.45254e-18 	-2.61482e-18 	0.00802868
5.62 	3.45254e-18 	-1.2033e-18 	0.020476
6.06 	3.45254e-18 	-1.17937e-18 	0.0290371
6.5 	3.45254e-18 	-1.15524e-18 	0.0302132
