1.22 	3.45254e-18 	-6.98323e-18 	-0.541409
1.66 	3.45254e-18 	-6.96118e-18 	-0.491136
2.1 	3.45254e-18 	-6.93894e-18 	-0.283492
2.54 	3.45254e-18 	-8.30431e-18 	-0.127756
2.98 	3.45254e-18 	-8.28171e-18 	-0.233149
3.42 	3.45254e-18 	-6.87115e-18 	-0.179615
3.86 	3.45254e-18 	-6.84819e-18 	-0.122979
4.3 	3.45254e-18 	-6.82504e-18 	-0.0837783
4.74 	3.45254e-18 	-5.41391e-18 	-0.134031
5.18 	3.45254e-18 	-2.61482e-18 	-0.155664
5.62 	3.45254e-18 	-1.2033e-18 	-0.138631
6.06 	3.45254e-18 	-1.17937e-18 	-0.0936992
6.5 	3.45254e-18 	-1.15524e-18 	-0.0903159
