1.22 	3.45254e-18 	-6.98323e-18 	-0.393775
1.66 	3.45254e-18 	-6.96118e-18 	-0.117266
2.1 	3.45254e-18 	-6.93894e-18 	-0.000980498
2.54 	3.45254e-18 	-8.30431e-18 	0.0692699
2.98 	3.45254e-18 	-8.28171e-18 	0.0529588
3.42 	3.45254e-18 	-6.87115e-18 	0.0473906
3.86 	3.45254e-18 	-6.84819e-18 	0.0326928
4.3 	3.45254e-18 	-6.82504e-18 	0.0249239
4.74 	3.45254e-18 	-5.41391e-18 	0.0181247
5.18 	3.45254e-18 	-2.61482e-18 	0.0136392
5.62 	3.45254e-18 	-1.2033e-18 	0.0103493
6.06 	3.45254e-18 	-1.17937e-18 	0.00802117
6.5 	3.45254e-18 	-1.15524e-18 	0.00629029
