1.22 	3.45254e-18 	-6.98323e-18 	-0.442791
1.66 	3.45254e-18 	-6.96118e-18 	-0.418862
2.1 	3.45254e-18 	-6.93894e-18 	-0.246957
2.54 	3.45254e-18 	-8.30431e-18 	-0.0819427
2.98 	3.45254e-18 	-8.28171e-18 	0.00307905
3.42 	3.45254e-18 	-6.87115e-18 	0.0573148
3.86 	3.45254e-18 	-6.84819e-18 	0.0588977
4.3 	3.45254e-18 	-6.82504e-18 	0.0559449
4.74 	3.45254e-18 	-5.41391e-18 	0.0460189
5.18 	3.45254e-18 	-2.61482e-18 	0.0385534
5.62 	3.45254e-18 	-1.2033e-18 	0.0310604
6.06 	3.45254e-18 	-1.17937e-18 	0.0249182
6.5 	3.45254e-18 	-1.15524e-18 	0.0198464
