1.22 	3.45254e-18 	-6.98323e-18 	-0.449155
1.66 	3.45254e-18 	-6.96118e-18 	-0.383679
2.1 	3.45254e-18 	-6.93894e-18 	-0.46498
2.54 	3.45254e-18 	-8.30431e-18 	-0.247438
2.98 	3.45254e-18 	-8.28171e-18 	-0.140903
3.42 	3.45254e-18 	-6.87115e-18 	-0.128615
3.86 	3.45254e-18 	-6.84819e-18 	-0.203542
4.3 	3.45254e-18 	-6.82504e-18 	-0.166948
4.74 	3.45254e-18 	-5.41391e-18 	-0.106755
5.18 	3.45254e-18 	-2.61482e-18 	-0.0947778
5.62 	3.45254e-18 	-1.2033e-18 	-0.136374
6.06 	3.45254e-18 	-1.17937e-18 	-0.150056
6.5 	3.45254e-18 	-1.15524e-18 	-0.124026
