1.22 	3.45254e-18 	-6.98323e-18 	-0.318689
1.66 	3.45254e-18 	-6.96118e-18 	-0.374225
2.1 	3.45254e-18 	-6.93894e-18 	-0.408722
2.54 	3.45254e-18 	-8.30431e-18 	-0.320169
2.98 	3.45254e-18 	-8.28171e-18 	-0.184627
3.42 	3.45254e-18 	-6.87115e-18 	-0.0830728
3.86 	3.45254e-18 	-6.84819e-18 	-0.0173624
4.3 	3.45254e-18 	-6.82504e-18 	0.0299912
4.74 	3.45254e-18 	-5.41391e-18 	0.0422069
5.18 	3.45254e-18 	-2.61482e-18 	0.0490018
5.62 	3.45254e-18 	-1.2033e-18 	0.0452616
6.06 	3.45254e-18 	-1.17937e-18 	0.0416481
6.5 	3.45254e-18 	-1.15524e-18 	0.0360245
